Job time = 	1903.46 ms
responsetime= 	951.732 ms
Job time = 	1906.06 ms
responsetime= 	953.03 ms
Job time = 	1905.33 ms
responsetime= 	952.663 ms
Job time = 	1900.71 ms
responsetime= 	950.357 ms
Job time = 	1906.36 ms
responsetime= 	953.181 ms
Job time = 	1906.81 ms
responsetime= 	953.403 ms
Job time = 	1905.42 ms
responsetime= 	952.712 ms
Job time = 	1905.77 ms
responsetime= 	952.886 ms
Job time = 	1900.21 ms
responsetime= 	950.104 ms
Job time = 	1905.47 ms
responsetime= 	952.733 ms
Job time = 	1905.92 ms
responsetime= 	952.962 ms
Job time = 	1900.89 ms
responsetime= 	950.445 ms
Job time = 	1905.84 ms
responsetime= 	952.919 ms
Job time = 	1902.85 ms
responsetime= 	951.424 ms
Job time = 	1907.18 ms
responsetime= 	953.592 ms
Job time = 	1905.27 ms
responsetime= 	952.635 ms
Job time = 	1903.86 ms
responsetime= 	951.931 ms
Job time = 	1905.83 ms
responsetime= 	952.916 ms
Job time = 	1906.37 ms
responsetime= 	953.185 ms
Job time = 	1901.16 ms
responsetime= 	950.581 ms
Job time = 	1904.72 ms
responsetime= 	952.361 ms
Job time = 	1903.8 ms
responsetime= 	951.899 ms
Job time = 	1905.67 ms
responsetime= 	952.835 ms
Job time = 	1907.04 ms
responsetime= 	953.519 ms
Job time = 	1902.73 ms
responsetime= 	951.366 ms
Job time = 	1905.84 ms
responsetime= 	952.919 ms
Job time = 	1905.14 ms
responsetime= 	952.57 ms
Job time = 	1903.26 ms
responsetime= 	951.631 ms
Job time = 	1905.12 ms
responsetime= 	952.562 ms
Job time = 	1900.73 ms
responsetime= 	950.363 ms
Job time = 	1904.88 ms
responsetime= 	952.442 ms
Job time = 	1905.65 ms
responsetime= 	952.824 ms
Job time = 	1901.6 ms
responsetime= 	950.798 ms
Job time = 	1905.88 ms
responsetime= 	952.942 ms
Job time = 	1905.29 ms
responsetime= 	952.644 ms
Job time = 	1899.13 ms
responsetime= 	949.565 ms
Job time = 	1905 ms
responsetime= 	952.502 ms
Job time = 	1902.46 ms
responsetime= 	951.23 ms
Job time = 	1905 ms
responsetime= 	952.502 ms
Job time = 	1904.86 ms
responsetime= 	952.43 ms
Job time = 	1904.8 ms
responsetime= 	952.4 ms
Job time = 	1905.32 ms
responsetime= 	952.659 ms
Job time = 	1905.33 ms
responsetime= 	952.664 ms
Job time = 	1902.8 ms
responsetime= 	951.402 ms
Job time = 	1906.25 ms
responsetime= 	953.125 ms
Job time = 	1900.72 ms
responsetime= 	950.361 ms
Job time = 	1905.77 ms
