Job time = 	1902.32 ms
responsetime= 	951.158 ms
Job time = 	1907.5 ms
responsetime= 	953.75 ms
Job time = 	1908.2 ms
responsetime= 	954.098 ms
Job time = 	1907.76 ms
responsetime= 	953.878 ms
Job time = 	1907.65 ms
responsetime= 	953.827 ms
Job time = 	1907.37 ms
responsetime= 	953.687 ms
Job time = 	1907.77 ms
responsetime= 	953.886 ms
Job time = 	1907.7 ms
responsetime= 	953.851 ms
Job time = 	1904.2 ms
responsetime= 	952.098 ms
Job time = 	1908.02 ms
responsetime= 	954.011 ms
Job time = 	1905.96 ms
responsetime= 	952.979 ms
Job time = 	1902.01 ms
responsetime= 	951.006 ms
Job time = 	1909.2 ms
responsetime= 	954.6 ms
Job time = 	1903.82 ms
responsetime= 	951.91 ms
Job time = 	1906.72 ms
responsetime= 	953.36 ms
Job time = 	1906.04 ms
responsetime= 	953.019 ms
Job time = 	1904.37 ms
responsetime= 	952.185 ms
Job time = 	1906.82 ms
responsetime= 	953.411 ms
Job time = 	1906.16 ms
responsetime= 	953.079 ms
Job time = 	1905.37 ms
responsetime= 	952.685 ms
Job time = 	1907.04 ms
responsetime= 	953.519 ms
Job time = 	1902.8 ms
responsetime= 	951.401 ms
Job time = 	1907.14 ms
responsetime= 	953.571 ms
Job time = 	1906.32 ms
responsetime= 	953.16 ms
Job time = 	1907.35 ms
responsetime= 	953.676 ms
Job time = 	1906.83 ms
responsetime= 	953.415 ms
Job time = 	1906.99 ms
responsetime= 	953.495 ms
Job time = 	1905.48 ms
responsetime= 	952.741 ms
Job time = 	1906.34 ms
responsetime= 	953.17 ms
Job time = 	1905.76 ms
responsetime= 	952.878 ms
Job time = 	1907.52 ms
responsetime= 	953.762 ms
Job time = 	1908.17 ms
responsetime= 	954.086 ms
Job time = 	1904.31 ms
responsetime= 	952.154 ms
Job time = 	1906.28 ms
responsetime= 	953.141 ms
Job time = 	1907.12 ms
responsetime= 	953.559 ms
Job time = 	1906.84 ms
responsetime= 	953.421 ms
Job time = 	1906.94 ms
responsetime= 	953.469 ms
Job time = 	1906.87 ms
responsetime= 	953.436 ms
Job time = 	1907.03 ms
responsetime= 	953.517 ms
Job time = 	1906.61 ms
responsetime= 	953.307 ms
Job time = 	1908.44 ms
responsetime= 	954.222 ms
Job time = 	1907.6 ms
responsetime= 	953.798 ms
Job time = 	1905.41 ms
responsetime= 	952.707 ms
Job time = 	1904.2 ms
responsetime= 	952.098 ms
Job time = 	1906.55 ms
responsetime= 	953.273 ms
Job time = 	1904.42 ms
responsetime= 	952.211 ms
Job time = 	1907.28 ms
responsetime= 	953.639 ms
Job time = 	1907.48 ms
responsetime= 	953.742 ms
Job time = 	1903.98 ms
responsetime= 	951.99 ms
Job time = 	1906.56 ms
responsetime= 	953.279 ms
Job time = 	1907.14 ms
responsetime= 	953.572 ms
Job time = 	1904.26 ms
responsetime= 	952.129 ms
Job time = 	1907.48 ms
responsetime= 	953.738 ms
Job time = 	1904.99 ms
responsetime= 	952.495 ms
Job time = 	1906.61 ms
responsetime= 	953.307 ms
Job time = 	1907.3 ms
responsetime= 	953.651 ms
Job time = 	1902 ms
responsetime= 	950.998 ms
Job time = 	1907.3 ms
responsetime= 	953.651 ms
Job time = 	1906.65 ms
responsetime= 	953.324 ms
Job time = 	1902.8 ms
responsetime= 	951.4 ms
Job time = 	1906.15 ms
responsetime= 	953.075 ms
Job time = 	1903.88 ms
responsetime= 	951.94 ms
Job time = 	1906.16 ms
responsetime= 	953.081 ms
Job time = 	1907.31 ms
responsetime= 	953.657 ms
Job time = 	1904.03 ms
responsetime= 	952.015 ms
Job time = 	1907.01 ms
responsetime= 	953.503 ms
Job time = 	1906.98 ms
responsetime= 	953.491 ms
Job time = 	1903.46 ms
responsetime= 	951.731 ms
Job time = 	1907.33 ms
responsetime= 	953.664 ms
Job time = 	1903.8 ms
responsetime= 	951.9 ms
Job time = 	1907.64 ms
responsetime= 	953.82 ms
Job time = 	1906.37 ms
responsetime= 	953.184 ms
Job time = 	1907.48 ms
responsetime= 	953.742 ms
Job time = 	1906.93 ms
responsetime= 	953.465 ms
Job time = 	1907.13 ms
responsetime= 	953.566 ms
Job time = 	1902.49 ms
responsetime= 	951.246 ms
Job time = 	1907.54 ms
responsetime= 	953.768 ms
Job time = 	1905.58 ms
responsetime= 	952.79 ms
Job time = 	1906.68 ms
responsetime= 	953.341 ms
Job time = 	1906.1 ms
responsetime= 	953.049 ms
Job time = 	1903.53 ms
responsetime= 	951.767 ms
Job time = 	1905.94 ms
responsetime= 	952.97 ms
Job time = 	1907.33 ms
responsetime= 	953.664 ms
Job time = 	1904.96 ms
responsetime= 	952.479 ms
Job time = 	1905.85 ms
responsetime= 	952.926 ms
Job time = 	1905.4 ms
responsetime= 	952.698 ms
