Job time = 	1903.92 ms
responsetime= 	951.958 ms
Job time = 	1906.85 ms
responsetime= 	953.426 ms
Job time = 	1906.25 ms
responsetime= 	953.124 ms
Job time = 	1905.47 ms
responsetime= 	952.736 ms
Job time = 	1906.39 ms
responsetime= 	953.197 ms
Job time = 	1904.84 ms
responsetime= 	952.418 ms
Job time = 	1906.72 ms
responsetime= 	953.358 ms
Job time = 	1906 ms
responsetime= 	953 ms
Job time = 	1904.54 ms
responsetime= 	952.272 ms
Job time = 	1906.43 ms
responsetime= 	953.213 ms
Job time = 	1906.4 ms
responsetime= 	953.199 ms
Job time = 	1901.74 ms
responsetime= 	950.872 ms
Job time = 	1905.98 ms
responsetime= 	952.989 ms
Job time = 	1904.97 ms
responsetime= 	952.483 ms
Job time = 	1907.02 ms
responsetime= 	953.51 ms
Job time = 	1906.43 ms
responsetime= 	953.214 ms
Job time = 	1904.12 ms
responsetime= 	952.059 ms
Job time = 	1905.78 ms
responsetime= 	952.892 ms
Job time = 	1906.64 ms
responsetime= 	953.319 ms
Job time = 	1906.18 ms
responsetime= 	953.091 ms
Job time = 	1906.62 ms
responsetime= 	953.311 ms
Job time = 	1900.67 ms
responsetime= 	950.335 ms
Job time = 	1905.67 ms
responsetime= 	952.834 ms
Job time = 	1907.93 ms
responsetime= 	953.963 ms
Job time = 	1902.83 ms
responsetime= 	951.417 ms
Job time = 	1906.41 ms
responsetime= 	953.206 ms
Job time = 	1904.1 ms
responsetime= 	952.052 ms
Job time = 	1906.71 ms
responsetime= 	953.353 ms
Job time = 	1906.85 ms
responsetime= 	953.423 ms
Job time = 	1904.68 ms
responsetime= 	952.341 ms
Job time = 	1906.68 ms
responsetime= 	953.339 ms
Job time = 	1906.77 ms
responsetime= 	953.385 ms
Job time = 	1904.54 ms
responsetime= 	952.268 ms
Job time = 	1906.49 ms
responsetime= 	953.244 ms
Job time = 	1903.54 ms
responsetime= 	951.772 ms
Job time = 	1906.18 ms
responsetime= 	953.092 ms
Job time = 	1906.29 ms
responsetime= 	953.143 ms
Job time = 	1902.52 ms
responsetime= 	951.261 ms
Job time = 	1906.3 ms
responsetime= 	953.149 ms
Job time = 	1905.86 ms
responsetime= 	952.932 ms
Job time = 	1906.36 ms
responsetime= 	953.18 ms
Job time = 	1905.05 ms
responsetime= 	952.523 ms
Job time = 	1905.76 ms
responsetime= 	952.881 ms
Job time = 	1907.32 ms
responsetime= 	953.658 ms
Job time = 	1906.38 ms
responsetime= 	953.188 ms
Job time = 	1905.91 ms
responsetime= 	952.956 ms
Job time = 	1905.65 ms
responsetime= 	952.823 ms
Job time = 	1905.33 ms
responsetime= 	952.664 ms
Job time = 	1901.12 ms
responsetime= 	950.558 ms
Job time = 	1906.19 ms
responsetime= 	953.096 ms
Job time = 	1905.93 ms
responsetime= 	952.964 ms
Job time = 	1904.12 ms
responsetime= 	952.059 ms
Job time = 	1905.87 ms
responsetime= 	952.934 ms
Job time = 	1904.04 ms
responsetime= 	952.021 ms
Job time = 	1906.1 ms
responsetime= 	953.051 ms
Job time = 	1905.74 ms
responsetime= 	952.869 ms
Job time = 	1906.47 ms
responsetime= 	953.233 ms
Job time = 	1906.15 ms
responsetime= 	953.073 ms
Job time = 	1906.17 ms
responsetime= 	953.086 ms
Job time = 	1901.75 ms
responsetime= 	950.873 ms
Job time = 	1908.81 ms
responsetime= 	954.407 ms
Job time = 	1904.15 ms
responsetime= 	952.074 ms
Job time = 	1905.33 ms
responsetime= 	952.666 ms
Job time = 	1905.39 ms
responsetime= 	952.697 ms
Job time = 	1901.8 ms
responsetime= 	950.902 ms
Job time = 	1905.87 ms
responsetime= 	952.935 ms
Job time = 	1906.47 ms
responsetime= 	953.236 ms
Job time = 	1903.88 ms
responsetime= 	951.942 ms
Job time = 	1905.09 ms
responsetime= 	952.546 ms
Job time = 	1907.92 ms
responsetime= 	953.962 ms
Job time = 	1906.24 ms
responsetime= 	953.119 ms
Job time = 	1906.48 ms
responsetime= 	953.241 ms
Job time = 	1907.04 ms
responsetime= 	953.519 ms
Job time = 	1904.84 ms
responsetime= 	952.418 ms
Job time = 	1906.91 ms
responsetime= 	953.454 ms
Job time = 	1901.4 ms
responsetime= 	950.701 ms
Job time = 	1905.72 ms
responsetime= 	952.861 ms
Job time = 	1906.8 ms
responsetime= 	953.4 ms
Job time = 	1902.76 ms
responsetime= 	951.379 ms
Job time = 	1907.52 ms
responsetime= 	953.758 ms
Job time = 	1906.58 ms
responsetime= 	953.291 ms
Job time = 	1905.74 ms
responsetime= 	952.872 ms
Job time = 	1906.12 ms
responsetime= 	953.062 ms
Job time = 	1907.15 ms
responsetime= 	953.574 ms
Job time = 	1906.4 ms
responsetime= 	953.202 ms
Job time = 	1906.35 ms
responsetime= 	953.176 ms
Job time = 	1902.24 ms
responsetime= 	951.118 ms
Job time = 	1906.07 ms
responsetime= 	953.037 ms
Job time = 	1905.69 ms
responsetime= 	952.846 ms
Job time = 	1904.74 ms
responsetime= 	952.368 ms
Job time = 	1906.74 ms
responsetime= 	953.372 ms
Job time = 	1904.39 ms
responsetime= 	952.193 ms
Job time = 	1906.39 ms
responsetime= 	953.193 ms
Job time = 	1052.05 ms
responsetime= 	526.024 ms
Job time = 	868.874 ms
responsetime= 	434.437 ms
Job time = 	868.874 ms
responsetime= 	434.437 ms
Job time = 	868.884 ms
responsetime= 	434.442 ms
Job time = 	868.884 ms
responsetime= 	434.442 ms
Job time = 	868.881 ms
responsetime= 	434.441 ms
Job time = 	868.876 ms
responsetime= 	434.438 ms
Job time = 	868.876 ms
responsetime= 	434.438 ms
Job time = 	868.869 ms
responsetime= 	434.435 ms
Job time = 	868.869 ms
responsetime= 	434.435 ms
Job time = 	868.883 ms
responsetime= 	434.442 ms
Job time = 	868.879 ms
responsetime= 	434.44 ms
Job time = 	868.885 ms
responsetime= 	434.443 ms
Job time = 	868.887 ms
responsetime= 	434.443 ms
Job time = 	868.885 ms
responsetime= 	434.443 ms
Job time = 	868.877 ms
responsetime= 	434.439 ms
Job time = 	868.878 ms
responsetime= 	434.439 ms
Job time = 	868.877 ms
responsetime= 	434.439 ms
Job time = 	868.88 ms
responsetime= 	434.44 ms
Job time = 	868.888 ms
responsetime= 	434.444 ms
Job time = 	868.882 ms
responsetime= 	434.441 ms
Job time = 	868.877 ms
responsetime= 	434.439 ms
Job time = 	868.872 ms
responsetime= 	434.436 ms
Job time = 	868.872 ms
responsetime= 	434.436 ms
