Tasks   Measµs        σMeas         Ctrlµs        σCtrl         Actµs         σAct          
--------------------------------------------------------------------------------------------------
2       0.15           0.04           0.95           0.57           0.00           0.00           
3       0.16           0.02           1.00           0.03           0.00           0.03           
4       0.16           0.02           1.01           0.13           0.00           0.00           
5       0.16           0.03           1.00           0.00           0.00           0.00           
6       0.20           0.03           2.01           0.44           0.01           0.47           
7       0.27           0.03           2.00           0.04           0.00           0.03           
8       0.30           0.03           2.00           0.03           0.00           0.00           
9       0.33           0.03           2.02           0.22           0.00           0.03           
10      0.34           0.04           3.00           0.00           0.03           0.18           
11      0.38           0.06           3.02           0.48           1.00           0.06           
12      0.41           0.06           3.04           0.60           1.00           0.00           
13      0.44           0.08           4.00           0.62           0.99           0.50           
14      0.47           0.06           4.03           0.63           1.02           0.54           
15      0.54           0.11           3.93           1.11           0.96           0.72           
16      0.57           0.07           4.28           0.83           1.03           0.69           
